"Ecto","Abund","Order","Family","hosts"
"1","Ctenophthalmus_pseudagyrtes",11,"Siphonaptera","Hystrichopsyllidae",4
"2","Cuterebra_fontinella",7,"Diptera","Oestridae",2
"3","Doratopsylla_blarinae",1,"Siphonaptera","Hystrichopsyllidae",1
"4","Epitedia_wenmanni",2,"Siphonaptera","Ctenophthalmidae",2
"5","Ixodes_scapularis_larva",87,NA,NA,NA
"6","Ixodes_scapularis_nymph",12,NA,NA,NA
"7","Megabothris_acerbus",8,"Siphonaptera","Ceratophyllidae",1
"8","Megabothris_asio",6,"Siphonaptera","Ceratophyllidae",3
"9","Megabothris_quirini",53,"Siphonaptera","Ceratophyllidae",6
"10","Monopsyllus_vison",1,"Siphonaptera","Ceratophyllidae",1
"11","Orchopeas_howardii",1,"Siphonaptera","Ceratophyllidae",1
"12","Orchopeas_leucopus",192,"Siphonaptera","Ceratophyllidae",5
"13","Peromyscopsylla_hesperomys",4,"Siphonaptera","Leptopsyllidae",1
"14","Peromyscopsylla_scotti",1,"Siphonaptera","Leptopsyllidae",1
"15","Unknown Mesostigmata_",21,"Mesostigmata","Laelapidae",4
