"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"Canopy",-0.146954037844656,-0.180863980472288,-0.960974211644797,-0.138881592692999,-0.0237991842499442,0.0269482904302974,0.0366197814504872,0.0126318109425023,-0.000511815741492784,0.00250589248848499
"Weins10",0.0194600880294532,-0.0288828884507289,0.0313590802400665,0.0840961486761192,-0.121157435374626,0.202716572644825,0.63398354407208,0.389536563871774,-0.0565210954655071,0.595519213111433
"Weins20",0.0134359473721052,-0.0333214457866778,0.0236815782102792,-0.048271207309025,5.44616551933959e-05,0.111840907745644,-0.0976983750050521,0.72659949545278,-0.0867560648611994,-0.514717796893715
"Weins30",0.00764010529372253,-0.0134712727306686,0.00410042347069824,-0.0929562790582497,-0.101950818574046,0.125568253704342,-0.421236575920641,0.451435211185208,-0.237801626073576,0.251282694460032
"Weins40",0.00312668693498871,-0.00412898890971076,0.00275495782489584,-0.0391411179379306,-0.0512335560284743,0.0452888474657467,-0.214397359123946,0.179895826117905,0.899742809850456,0.173000052787048
"Weins50",0.00135022465553764,-0.00112771159620125,-0.000381081966344243,-0.0207365373394002,-0.0173319488231808,0.0332645785820307,-0.22318589427292,0.00580348647104416,0.176317553888645,0.194062678538222
"Weins60",0.000414494090762455,0.000440760622960807,0.002247697446945,-0.00907710288296477,0.000422331704187966,0.0205209365514298,-0.133887003136296,-0.0794809555821289,-0.13780260104319,0.182451914583238
"X.Tree",-0.00973613375474256,-0.00639958102640424,-0.0186467162873955,0.0163415172472253,-0.298444382235322,-0.797792517366765,-0.228991114438307,0.13195236095359,-0.142860339141748,0.277756317647633
"X.Shrub",-0.00440827598114781,0.00157741792509074,-0.0142474902537744,0.0710159082693447,0.0538043979074443,0.48251462488656,-0.487843538711211,-0.165436206780375,-0.226452989045648,0.315568893544576
"X.Grass",0.486886770037089,-0.673872236715771,0.121048548867324,-0.409094158754917,-0.319116828109313,0.0783472444222196,0.0253610542705095,-0.124479924167472,-0.00806825671533909,-0.0423103988501263
"X.Forb",0.330707088762392,0.697876310865136,-0.0890259912502333,-0.579520344296674,-0.2155473783617,0.0662080523439738,0.0529135856318794,-0.045800628369361,-0.0206951591241443,-0.000292124421534084
"X.Bare",0.00992703020685035,0.126810475534459,-0.0733967807706228,0.489867685670844,-0.803771490812665,0.196685101218965,-0.0129253664304195,-0.0998783556753432,0.0282708227319021,-0.193037752957274
"X.DeadVeg",-0.794440980967121,-0.0887930997230472,0.215496167311155,-0.460588561264354,-0.291764041589634,0.0884601331858496,0.044680946726067,-0.0727909058318456,-0.0114741698832598,-0.02467820744046
