model,WAIC,?WAIC
Mass + Sex,73.95966885,0
Mass,78.01521798,4.05554913
Sex,78.27621995,4.3165511
Species + Mass,83.47169366,9.51202481
Species + Mass + Interaction,83.60058047,9.64091162
Species + Sex + Interaction,83.76350369,9.80383484
Species,83.93009135,9.9704225
Species + Mass + Sex,83.94222772,9.98255887
Species + Interaction,84.37496335,10.4152945
Full,84.82808149,10.86841264
Intercept,85.0793319,11.11966305
Interaction,85.2107875,11.25111865
Mass + Sex + Interaction,85.4349288,11.47525995
Sex + Interaction,86.08671773,12.12704888
Species + Sex,86.44846865,12.4887998
Mass + Interaction,86.86413235,12.9044635
